Line,Significance,Cultivar-group,Cultivation status,Elite status,IRBB4,IRBB5,IRBB7,IRBB13,IRBB21,IRBB23,IRBB26,IRBB25,IRBB41
OM4900-4,,Indica,Cultivar,Elite,[+],[-],?,[-],[-],[-],[+],[-],[-]
OM997 CX37,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
PSB-Rc18 IRIS_313-12319,,Indica,Cultivar,Elite,[+],[-],?,[-],[-],[-],[+],[-],[-]
PSB-Rc18,,Indica,Cultivar,Elite,[+],[-],?,[-],[-],[-],[+],[-],[-]
PSB-Rc50 IRIS_313-10234,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
PSB-Rc68 IRIS_313-10235,,Indica,Cultivar,Elite,[+],[-],?,[-],[-],[-],?,[-],[-]
PSB-Rc80 CX357,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
PSB-Rc82 CX358,,Indica,Cultivar,Elite,?,[+],[-],[-],[-],[-],[+],[-],[-]
Sahel-108,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
Sahel-177-1,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],?,[-],[-]
Sahel-317-1,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],?,[-],[-]
Sahel-329-1,,Indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],?,[-],[-]
Swarna-Arvind,,Indica,Cultivar,Elite,?,[-],?,[-],[-],[-],?,[-],[-]
BlueBonnet IRIS,,Japonica,Cultivar,Elite,?,[-],?,[-],?,[-],?,[-],[-]
Bluebonnet IRIS,,Japonica,Cultivar,Elite,?,[-],?,[-],?,[-],?,[-],[-]
CarolinaGoldSelect-CIAT SRR1328207,,Japonica,Cultivar,Elite,?,[-],?,?,?,[-],?,[-],[-]
Colombia1 IRIS,,Japonica,Cultivar,Elite,?,?,?,[-],[-],[-],?,[-],[-]
Katy IRIS_313-8285,,Japonica,Cultivar,Elite,?,[-],?,[-],[-],[-],?,[-],[-]
Kotobuki-Mochi IRIS_313-9002,,Japonica,Cultivar,Elite,?,[-],?,[-],[-],[-],?,[-],[-]
M202 CX89,,Japonica,Cultivar,Elite,?,[-],[-],[-],[-],[-],?,[-],[-]
M23,,Japonica,Cultivar,Elite,?,[-],[-],[-],[-],[-],[-],[-],[-]
M401 CX78,,Japonica,Cultivar,Elite,[-],[-],?,[-],[-],[-],[+],[-],[-]
MILYANG23 CX29,,Japonica,Cultivar,Elite,?,[-],?,[-],[-],[-],[-],[-],[-]
Milyang30 IRIS_313-9925,,Japonica,Cultivar,Elite,?,[-],?,[-],[-],[-],?,[-],[-]
Milyang77 IRIS_313-10040,,Japonica,Cultivar,Elite,?,[-],?,[-],[-],[-],[+],[-],[-]
Minghui63 CX145,,Japonica,Cultivar,Elite,?,[-],?,[-],[-],[-],[+],[-],[-]
MS11,,Japonica,Cultivar,Elite,?,[-],?,[-],[-],[-],?,[-],[-]
9311-1 SRR1210600,,,Cultivar,Elite,?,[-],[-],[-],[-],[-],?,[-],[-]
IRAT352 CX64,,,Cultivar,Elite,?,[-],[-],[-],[-],[-],?,[-],[-]
Bala CX228,,Indica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
BG 94-1 CX35,,Indica,Cultivar,,?,[-],[-],[-],?,[-],?,[-],[-]
BG90-2 CX21,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],?,[-],[-]
BINAdhan10,,Indica,Cultivar,,[+],[-],?,[-],[-],[-],[+],[-],[-]
BR11 CX2,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],[-],[-],[-]
BR24 CX3,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],[-],[-],[-]
Co22 B011,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],?,[-],[-]
Co39 IRIS_313-8265,,Indica,Cultivar,,[+],[-],?,[-],[-],[-],?,[-],[-]
CSR89 IRIS_313-10348,,Indica,Cultivar,,?,[-],?,[-],?,[-],?,[-],[-]
CSR90 IRIS_313-10349,,Indica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
IR10179-23-1-3 B028,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],[+],[-],[-]
IR24,,Indica,Cultivar,,?,[-],?,[-],[-],[-],[-],[-],[-]
IR26 CX274,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],[+],[-],[-]
IR28 IRIS_313-7691,,Indica,Cultivar,,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR29-1,,Indica,Cultivar,,[+],[-],?,[-],[-],[-],?,[-],[-]
IR31917-1,,Indica,Cultivar,,?,[-],?,[-],[-],[-],[+],[-],[-]
IR34 CX275,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],[+],[-],[-]
IR42 CX161,,Indica,Cultivar,,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR55419 CX232,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],?,[-],[-]
IR56 IRIS_313-10167,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],?,[-],[-]
IR58025B CX44,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],[+],[-],[-]
IR58821-23-1-3-1 CX233,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],?,[-],[-]
IR6 CX73,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],?,[-],[-]
