id,databasecode,samplecode,isolatename,district,province,country,latitude,longitude,year,ricevarsource,ricegrowthstage,percdiseasedleaf,institute,sampletype,runcode,lineage,AxooPopn
4093,XO2023-00365,XO2023-00365,PRRI_102023_0126,Culasi,Antique,Philippines,11.170507,122.083333,2023,NSIC Rc 480,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4094,XO2023-00366,XO2023-00366,PRRI_102023_0127,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 10,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4095,XO2023-00367,XO2023-00367,PRRI_102023_0128,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC RC 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4096,XO2023-00368,XO2023-00368,PRRI_102023_0129,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC RC 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4097,XO2023-00369,XO2023-00369,PRRI_102023_0130,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC RC 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4098,XO2023-00370,XO2023-00370,PRRI_102023_0131,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC Rc 10,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4099,XO2023-00371,XO2023-00371,PRRI_102023_0132,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC Rc 506,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_02,Axoo_07
4100,XO2023-00372,XO2023-00372,PRRI_102023_0133,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4101,XO2023-00373,XO2023-00373,PRRI_102023_0134,Culasi,Antique,Philippines,11.170507,122.083333,2023,NSIC Rc 480,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4102,XO2023-00374,XO2023-00374,PRRI_102023_0135,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 10,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4103,XO2023-00375,XO2023-00375,PRRI_102023_0136,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC RC 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4104,XO2023-00376,XO2023-00376,PRRI_102023_0137,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC RC 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_02,Axoo_07
4105,XO2023-00377,XO2023-00377,PRRI_102023_0138,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC RC 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4106,XO2023-00378,XO2023-00378,PRRI_102023_0139,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC Rc 10,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4107,XO2023-00379,XO2023-00379,PRRI_102023_0140,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC Rc 506,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4108,XO2023-00380,XO2023-00380,PRRI_102023_0141,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4109,XO2023-00381,XO2023-00381,PRRI_102023_0142,Culasi,Antique,Philippines,11.170507,122.083333,2023,NSIC Rc 480,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4110,XO2023-00382,XO2023-00382,PRRI_102023_0143,Culasi,Antique,Philippines,11.170507,122.083333,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4111,XO2023-00383,XO2023-00383,PRRI_102023_0144,Badiangan,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 480,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4112,XO2023-00384,XO2023-00384,PRRI_102023_0145,Catarman,Northern Samar,Philippines,12.42,124.81,2023,NSIC Rc 508,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4113,XO2023-00385,XO2023-00385,PRRI_102023_0146,Catarman,Northern Samar,Philippines,12.42,124.81,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4114,XO2023-00386,XO2023-00386,PRRI_102023_0147,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,Ph82,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4115,XO2023-00387,XO2023-00387,PRRI_102023_0148,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,Ph82,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4116,XO2023-00388,XO2023-00388,PRRI_102023_0149,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,Longping,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4117,XO2023-00389,XO2023-00389,PRRI_102023_0150,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,Pioneer,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4118,XO2023-00390,XO2023-00390,PRRI_102023_0151,Culasi,Antique,Philippines,11.170507,122.083333,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4119,XO2023-00391,XO2023-00391,PRRI_102023_0152,Badiangan,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 480,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4120,XO2023-00392,XO2023-00392,PRRI_102023_0153,Catarman,Northern Samar,Philippines,12.42,124.81,2023,NSIC Rc 508,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4121,XO2023-00393,XO2023-00393,PRRI_102023_0154,Catarman,Northern Samar,Philippines,12.42,124.81,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4122,XO2023-00394,XO2023-00394,PRRI_102023_0155,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,Ph82,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4123,XO2023-00395,XO2023-00395,PRRI_102023_0156,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,Ph82,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4124,XO2023-00396,XO2023-00396,PRRI_102023_0157,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,Longping,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4125,XO2023-00397,XO2023-00397,PRRI_102023_0158,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,Pioneer,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
