vCode,databaseCode,sampleCode,isolateName,district,province,country,year,riceVarSource,riceGrowthStage,percDiseasedLeaf,institute,sampleType,runCode,lineage,AxooPopn,latitude,longitude
VCE_02477,Xo2021-2-45,BXo 2645,BXo 2645,Dubail,Dhaka,Bangladesh,2019.0,BRRI dhan75,Reproductive stage,0.55,Bangladesh Rice Research Institute,Leaf,XO2021-2,,,,
VCE_02487,Xo2021-2-46,BXo 2646,BXo 2646,Dubail,Dhaka,Bangladesh,2019.0,BRRI dhan79,Reproductive stage,0.85,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo9,,
VCE_02381,Xo2021-2-296,BXo 887,BXo 887,Dumuriya,Khulna,Bangladesh,2018.0,BRRI dhan28,Reproductive stage,0.9,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo9,,
VCE_02380,Xo2021-2-295,BXo 911,BXo 911,Dumuriya,Khulna,Bangladesh,2018.0,BRRI dhan47,Reproductive stage,0.55,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_3,AXoo10,,
VCE_02223,Xo2021-2-163,BXo 2761,BXo 2761,"East baid, BRRI farm",Dhaka,Bangladesh,2019.0,BR10,Reproductive stage,0.85,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_3,AXoo10,,
VCE_02224,Xo2021-2-164,BXo 2762,BXo 2762,"East baid, BRRI farm",Dhaka,Bangladesh,2019.0,BRRI dhan71,Reproductive stage,0.9,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo6,,
VCE_02225,Xo2021-2-164,BXo 2762,BXo 2762,"East baid, BRRI farm",Dhaka,Bangladesh,2019.0,BRRI dhan71,Reproductive stage,0.9,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo7,,
VCE_02226,Xo2021-2-165,BXo 2763,BXo 2763,"East baid, BRRI farm",Dhaka,Bangladesh,2019.0,BRRI dhan75,Reproductive stage,0.8,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo9,,
VCE_02227,Xo2021-2-166,BXo 2764,BXo 2764,"East baid, BRRI farm",Dhaka,Bangladesh,2019.0,BRRI dhan49,Reproductive stage,0.8,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_3,AXoo10,,
VCE_02228,Xo2021-2-167,BXo 2765,BXo 2765,"East baid, BRRI farm",Dhaka,Bangladesh,2019.0,BRRI dhan34,Reproductive stage,0.85,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_3,AXoo10,,
VCE_02229,Xo2021-2-168,BXo 2766,BXo 2766,"East baid, BRRI farm",Dhaka,Bangladesh,2019.0,BRRI dhan62,Reproductive stage,0.95,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_3,AXoo10,,
VCE_00087,XO2020-1-203,RO_2019_203,BB 144,Ein Mal,Ayeyarwady Region,Myanmar,2015.0,Manawthukha,,,Department of Agricultural Research,Leaf,XO2020-1,Lin_2,AXoo8,,
VCE_00088,XO2020-1-203,RO_2019_203,BB 144,Ein Mal,Ayeyarwady Region,Myanmar,2015.0,Manawthukha,,,Department of Agricultural Research,Leaf,XO2020-1,Xoc,Xoc,,
VCE_02412,Xo2021-2-39,BXo 2639,BXo 2639,Elenga,Dhaka,Bangladesh,2019.0,BRRI dhan49,Reproductive stage,0.45,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo7,,
VCE_02413,Xo2021-2-39,BXo 2639,BXo 2639,Elenga,Dhaka,Bangladesh,2019.0,BRRI dhan49,Reproductive stage,0.45,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo9,,
VCE_02425,Xo2021-2-40,BXo 2640,BXo 2640,Elenga,Dhaka,Bangladesh,2019.0,BRRI dhan75,Reproductive stage,0.85,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo6,,
